match_id,innings,batting_team,over,over_runs,legal_balls,wickets,over_run_rate,wicket_over,high_scoring_over,momentum
1527682,1,Rajasthan Royals,9,5,6,0,5.0,0,0,Low
1527682,1,Rajasthan Royals,10,10,6,0,10.0,0,0,High
1527682,1,Rajasthan Royals,11,15,6,0,15.0,0,1,Very High
1527682,1,Rajasthan Royals,12,12,6,1,12.0,1,0,High
1527682,1,Rajasthan Royals,13,14,6,1,14.0,1,0,High
1527682,1,Rajasthan Royals,14,12,6,0,12.0,0,0,High
1527682,1,Rajasthan Royals,15,6,6,1,6.0,1,0,Medium
1527682,1,Rajasthan Royals,16,11,6,1,11.0,1,0,High
1527682,1,Rajasthan Royals,17,13,6,0,13.0,0,0,High
1527682,1,Rajasthan Royals,18,11,6,0,11.0,0,0,High
1527682,1,Rajasthan Royals,19,9,6,1,9.0,1,0,Medium
1527682,2,Gujarat Titans,0,15,6,0,15.0,0,1,Very High
1527682,2,Gujarat Titans,1,7,6,0,7.0,0,0,Medium
1527682,2,Gujarat Titans,2,10,6,0,10.0,0,0,High
1527682,2,Gujarat Titans,3,8,6,0,8.0,0,0,Medium
1527682,2,Gujarat Titans,4,5,6,0,5.0,0,0,Low
1527682,2,Gujarat Titans,5,11,6,0,11.0,0,0,High
1527682,2,Gujarat Titans,6,11,6,0,11.0,0,0,High
1527682,2,Gujarat Titans,7,11,6,1,11.0,1,0,High
1527682,2,Gujarat Titans,8,14,6,0,14.0,0,0,High
1527682,2,Gujarat Titans,9,11,6,0,11.0,0,0,High
1527682,2,Gujarat Titans,10,9,6,1,9.0,1,0,Medium
1527682,2,Gujarat Titans,11,15,6,0,15.0,0,1,Very High
1527682,2,Gujarat Titans,12,6,6,2,6.0,1,0,Medium
1527682,2,Gujarat Titans,13,12,6,1,12.0,1,0,High
1527682,2,Gujarat Titans,14,16,6,2,16.0,1,1,Very High
1527682,2,Gujarat Titans,15,10,6,0,10.0,0,0,High
1527682,2,Gujarat Titans,16,10,6,0,10.0,0,0,High
1527682,2,Gujarat Titans,17,15,6,0,15.0,0,1,Very High
