batter,innings,average_runs,highest_score,ducks,runs,balls_faced,strike_rate,fours,sixes,boundary_percentage,dot_ball_percentage,scores_30_plus,scores_50_plus,scores_100_plus,30_plus_percentage
KK Nair,2,9.0,13,0,18,18,100.0,3,0,66.67,55.56,0,0,0,0.0
M Tiwari,1,18.0,18,0,18,8,225.0,2,1,77.78,12.5,0,0,0,0.0
Kumar Kushagra,1,18.0,18,0,18,14,128.57,3,0,66.67,42.86,0,0,0,0.0
AA Kulkarni,2,8.5,17,1,17,25,68.0,1,0,23.53,56.0,0,0,0,0.0
RA Bawa,1,16.0,16,0,16,14,114.29,1,0,25.0,42.86,0,0,0,0.0
LS Livingstone,2,7.5,14,0,15,25,60.0,0,1,40.0,72.0,0,0,0,0.0
V Nigam,2,7.5,12,0,15,10,150.0,2,0,53.33,20.0,0,0,0,0.0
Vishnu Vinod,1,15.0,15,0,15,8,187.5,1,1,66.67,25.0,0,0,0,0.0
N Burger,3,4.67,10,0,14,9,155.56,0,1,42.86,22.22,0,0,0,0.0
Auqib Nabi,2,7.0,10,0,14,3,466.67,2,1,100.0,33.33,0,0,0,0.0
Harsh Dubey,4,3.25,9,1,13,9,144.44,2,0,61.54,55.56,0,0,0,0.0
T Dahiya,2,6.0,11,0,12,15,80.0,2,0,66.67,60.0,0,0,0,0.0
KA Jamieson,1,12.0,12,0,12,13,92.31,1,1,83.33,76.92,0,0,0,0.0
Noor Ahmad,4,2.75,8,0,11,23,47.83,0,1,54.55,78.26,0,0,0,0.0
Kartik Tyagi,3,3.67,6,1,11,10,110.0,1,1,90.91,70.0,0,0,0,0.0
Krish Bhagat,2,5.0,7,0,10,21,47.62,0,0,0.0,57.14,0,0,0,0.0
HV Patel,3,3.33,6,1,10,9,111.11,2,0,80.0,55.56,0,0,0,0.0
Kuldeep Yadav,4,2.25,4,0,9,21,42.86,0,0,0.0,66.67,0,0,0,0.0
TA Boult,2,4.0,7,0,8,4,200.0,0,1,75.0,25.0,0,0,0,0.0
JJ Bumrah,2,3.5,5,0,7,7,100.0,1,0,57.14,57.14,0,0,0,0.0
MJ Henry,2,3.5,5,0,7,10,70.0,1,0,57.14,60.0,0,0,0,0.0
E Malinga,3,2.33,5,1,7,17,41.18,0,0,0.0,64.71,0,0,0,0.0
LG Pretorius,2,3.5,7,1,7,8,87.5,0,0,0.0,37.5,0,0,0,0.0
M Prasidh Krishna,1,6.0,6,0,6,7,85.71,1,0,66.67,57.14,0,0,0,0.0
R Minz,2,3.0,5,0,6,4,150.0,1,0,66.67,25.0,0,0,0,0.0
Avesh Khan,3,2.0,4,0,6,6,100.0,1,0,66.67,66.67,0,0,0,0.0
DA Payne,1,6.0,6,0,6,5,120.0,0,0,0.0,20.0,0,0,0,0.0
CV Varun,2,2.5,5,1,5,6,83.33,1,0,80.0,66.67,0,0,0,0.0
Arjun Tendulkar,1,5.0,5,0,5,5,100.0,0,0,0.0,20.0,0,0,0,0.0
Sakib Hussain,1,5.0,5,0,5,7,71.43,1,0,80.0,71.43,0,0,0,0.0
AJ Hosein,2,2.5,3,0,5,3,166.67,0,0,0.0,0.0,0,0,0,0.0
