match_id,match_date,venue,city,team1,team2,toss_winner,toss_decision,first_innings_team,first_innings_runs,second_innings_team,second_innings_runs,winner,result_type,run_margin,wickets_margin,total_match_runs,team1_win,team1_prev_win_pct,team2_prev_win_pct,team1_recent_form,team2_recent_form,team1_avg_runs,team2_avg_runs,team1_avg_conceded,team2_avg_conceded,toss_winner_is_team1
1527689,2026-04-10,"Barsapara Cricket Stadium, Guwahati",Guwahati,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bengaluru,201,Rajasthan Royals,202.0,Rajasthan Royals,Chased,,6.0,403,0,1.0,1.0,1.0,1.0,226.5,162.66666666666666,204.0,151.33333333333334,0
1527691,2026-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,212,Delhi Capitals,189.0,Chennai Super Kings,Defended,23.0,,401,1,0.0,0.6666666666666666,0.0,0.6666666666666666,181.0,172.66666666666666,196.0,171.0,0
1527690,2026-04-11,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,219,Punjab Kings,223.0,Punjab Kings,Chased,,6.0,442,0,0.3333333333333333,1.0,0.3333333333333333,1.0,194.33333333333334,187.5,174.66666666666666,185.5,0
1527693,2026-04-12,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,240,Mumbai Indians,222.0,Royal Challengers Bengaluru,Defended,18.0,,462,1,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,218.0,169.66666666666666,203.33333333333334,178.0,0
1527692,2026-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Lucknow Super Giants,164,Gujarat Titans,165.0,Gujarat Titans,Chased,,7.0,329,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,161.0,192.0,160.66666666666666,194.66666666666666,0
1529264,2026-04-13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,216,Rajasthan Royals,159.0,Sunrisers Hyderabad,Defended,57.0,,375,1,0.25,1.0,0.3333333333333333,1.0,200.5,172.5,186.75,163.75,0
1529265,2026-04-14,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,192,Kolkata Knight Riders,160.0,Chennai Super Kings,Defended,32.0,,352,1,0.25,0.0,0.3333333333333333,0.0,188.75,187.33333333333334,194.25,210.66666666666666,0
1529266,2026-04-15,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Lucknow Super Giants,146,Royal Challengers Bengaluru,149.0,Royal Challengers Bengaluru,Chased,,5.0,295,0,0.5,0.75,0.6666666666666666,0.6666666666666666,161.75,223.5,161.75,208.0,0
1529267,2026-04-16,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,195,Punjab Kings,198.0,Punjab Kings,Chased,,7.0,393,0,0.25,1.0,0.0,1.0,182.75,199.33333333333334,193.5,196.66666666666666,0
1529268,2026-04-17,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,Kolkata Knight Riders,180,Gujarat Titans,181.0,Gujarat Titans,Chased,,5.0,361,0,0.0,0.5,0.0,0.6666666666666666,180.5,185.25,206.0,187.0,1
